loan_id,no_of_dependents,self_employed,income_annum,loan_amount,loan_term,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,2, No,9600000,29900000,12,2400000,17600000,22700000,8000000, Approved
2,0, Yes,4100000,12200000,8,2700000,2200000,8800000,3300000, Rejected
3,3, No,9100000,29700000,20,7100000,4500000,33300000,12800000, Rejected
4,3, No,8200000,30700000,8,18200000,3300000,23300000,7900000, Rejected
5,5, Yes,9800000,24200000,20,12400000,8200000,29400000,5000000, Rejected
6,0, Yes,4800000,13500000,10,6800000,8300000,13700000,5100000, Rejected
7,5, No,8700000,33000000,4,22500000,14800000,29200000,4300000, Approved
8,2, Yes,5700000,15000000,20,13200000,5700000,11800000,6000000, Rejected
9,0, Yes,800000,2200000,20,1300000,800000,2800000,600000, Approved
10,5, No,1100000,4300000,10,3200000,1400000,3300000,1600000, Rejected
11,4, Yes,2900000,11200000,2,8100000,4700000,9500000,3100000, Approved
12,2, Yes,6700000,22700000,18,15300000,5800000,20400000,6400000, Rejected
13,3, Yes,5000000,11600000,16,6400000,9600000,14600000,4300000, Rejected
14,2, Yes,9100000,31500000,14,10800000,16600000,20900000,5000000, Approved
15,1, No,1900000,7400000,6,1900000,1200000,5900000,1900000, Rejected
16,5, No,4700000,10700000,10,5700000,3900000,16400000,4400000, Approved
17,2, Yes,500000,1600000,4,1300000,100000,1300000,700000, Approved
18,4, Yes,2900000,9400000,14,2900000,2800000,6700000,4300000, Approved
19,2, No,2700000,10300000,10,1000000,0,6200000,3300000, Approved
20,5, No,6300000,14600000,12,10300000,3500000,23500000,5900000, Approved
21,2, No,5000000,19400000,12,9500000,1600000,18000000,6100000, Rejected
22,4, No,5800000,14000000,16,3800000,11300000,22200000,5400000, Rejected
23,4, Yes,6500000,25700000,18,13100000,1700000,19500000,8500000, Rejected
24,0, Yes,500000,1400000,2,900000,600000,1100000,300000, Approved
25,0, No,4900000,9800000,16,3800000,8700000,10000000,3300000, Rejected
26,5, No,3100000,9500000,20,7900000,3100000,6600000,2600000, Rejected
27,4, No,8200000,28100000,12,11500000,10600000,25300000,7200000, Approved
28,4, Yes,2400000,5600000,4,4500000,4200000,5400000,2500000, Approved
29,5, Yes,7000000,24000000,6,2300000,11900000,27500000,9700000, Rejected
30,3, Yes,9000000,31500000,10,21800000,12400000,33700000,8000000, Approved
31,2, No,9800000,25300000,12,20200000,5200000,25500000,9300000, Rejected
32,2, No,5700000,12000000,6,3600000,7400000,21700000,4300000, Rejected
33,1, Yes,800000,1600000,10,700000,200000,2200000,1000000, Rejected
34,5, Yes,8400000,22000000,2,3800000,3900000,19900000,5400000, Approved
35,3, No,4900000,11900000,8,9700000,1200000,19000000,5800000, Approved
36,2, Yes,1700000,3400000,8,2700000,2800000,6000000,900000, Approved
37,3, No,1600000,6200000,18,3400000,700000,5300000,1400000, Approved
38,5, Yes,8000000,27200000,6,6400000,300000,16700000,7100000, Rejected
39,5, No,3600000,7700000,16,7000000,1300000,10000000,2900000, Approved
40,3, Yes,1500000,5100000,6,100000,200000,5600000,900000, Rejected
41,1, No,7800000,18100000,2,8600000,11200000,21700000,9000000, Approved
42,2, No,9100000,24900000,16,22300000,12100000,31000000,5200000, Approved
43,3, No,1400000,3400000,6,200000,1500000,3900000,800000, Rejected
44,2, Yes,800000,2300000,12,2200000,1300000,1800000,800000, Rejected
45,5, No,6500000,13400000,18,18200000,300000,16200000,5400000, Approved
