loan_id,no_of_dependents,self_employed,income_annum,loan_amount,loan_term,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status
1,2, No,96000.0,299000.0,12,24000.0,176000.0,227000.0,80000.0, Approved
2,0, Yes,41000.0,122000.0,8,27000.0,22000.0,88000.0,33000.0, Rejected
3,3, No,91000.0,297000.0,20,71000.0,45000.0,333000.0,128000.0, Rejected
4,3, No,82000.0,307000.0,8,182000.0,33000.0,233000.0,79000.0, Rejected
5,5, Yes,98000.0,242000.0,20,124000.0,82000.0,294000.0,50000.0, Rejected
6,0, Yes,48000.0,135000.0,10,68000.0,83000.0,137000.0,51000.0, Rejected
7,5, No,87000.0,330000.0,4,225000.0,148000.0,292000.0,43000.0, Approved
8,2, Yes,57000.0,150000.0,20,132000.0,57000.0,118000.0,60000.0, Rejected
9,0, Yes,8000.0,22000.0,20,13000.0,8000.0,28000.0,6000.0, Approved
10,5, No,11000.0,43000.0,10,32000.0,14000.0,33000.0,16000.0, Rejected
11,4, Yes,29000.0,112000.0,2,81000.0,47000.0,95000.0,31000.0, Approved
12,2, Yes,67000.0,227000.0,18,153000.0,58000.0,204000.0,64000.0, Rejected
13,3, Yes,50000.0,116000.0,16,64000.0,96000.0,146000.0,43000.0, Rejected
14,2, Yes,91000.0,315000.0,14,108000.0,166000.0,209000.0,50000.0, Approved
15,1, No,19000.0,74000.0,6,19000.0,12000.0,59000.0,19000.0, Rejected
16,5, No,47000.0,107000.0,10,57000.0,39000.0,164000.0,44000.0, Approved
17,2, Yes,5000.0,16000.0,4,13000.0,1000.0,13000.0,7000.0, Approved
18,4, Yes,29000.0,94000.0,14,29000.0,28000.0,67000.0,43000.0, Approved
19,2, No,27000.0,103000.0,10,10000.0,0.0,62000.0,33000.0, Approved
20,5, No,63000.0,146000.0,12,103000.0,35000.0,235000.0,59000.0, Approved
21,2, No,50000.0,194000.0,12,95000.0,16000.0,180000.0,61000.0, Rejected
22,4, No,58000.0,140000.0,16,38000.0,113000.0,222000.0,54000.0, Rejected
23,4, Yes,65000.0,257000.0,18,131000.0,17000.0,195000.0,85000.0, Rejected
24,0, Yes,5000.0,14000.0,2,9000.0,6000.0,11000.0,3000.0, Approved
25,0, No,49000.0,98000.0,16,38000.0,87000.0,100000.0,33000.0, Rejected
26,5, No,31000.0,95000.0,20,79000.0,31000.0,66000.0,26000.0, Rejected
27,4, No,82000.0,281000.0,12,115000.0,106000.0,253000.0,72000.0, Approved
28,4, Yes,24000.0,56000.0,4,45000.0,42000.0,54000.0,25000.0, Approved
29,5, Yes,70000.0,240000.0,6,23000.0,119000.0,275000.0,97000.0, Rejected
30,3, Yes,90000.0,315000.0,10,218000.0,124000.0,337000.0,80000.0, Approved
31,2, No,98000.0,253000.0,12,202000.0,52000.0,255000.0,93000.0, Rejected
32,2, No,57000.0,120000.0,6,36000.0,74000.0,217000.0,43000.0, Rejected
33,1, Yes,8000.0,16000.0,10,7000.0,2000.0,22000.0,10000.0, Rejected
34,5, Yes,84000.0,220000.0,2,38000.0,39000.0,199000.0,54000.0, Approved
35,3, No,49000.0,119000.0,8,97000.0,12000.0,190000.0,58000.0, Approved
36,2, Yes,17000.0,34000.0,8,27000.0,28000.0,60000.0,9000.0, Approved
37,3, No,16000.0,62000.0,18,34000.0,7000.0,53000.0,14000.0, Approved
38,5, Yes,80000.0,272000.0,6,64000.0,3000.0,167000.0,71000.0, Rejected
39,5, No,36000.0,77000.0,16,70000.0,13000.0,100000.0,29000.0, Approved
40,3, Yes,15000.0,51000.0,6,1000.0,2000.0,56000.0,9000.0, Rejected
41,1, No,78000.0,181000.0,2,86000.0,112000.0,217000.0,90000.0, Approved
42,2, No,91000.0,249000.0,16,223000.0,121000.0,310000.0,52000.0, Approved
43,3, No,14000.0,34000.0,6,2000.0,15000.0,39000.0,8000.0, Rejected
44,2, Yes,8000.0,23000.0,12,22000.0,13000.0,18000.0,8000.0, Rejected
45,5, No,65000.0,134000.0,18,182000.0,3000.0,162000.0,54000.0, Approved
46,4, No,80000.0,278000.0,16,130000.0,63000.0,214000.0,109000.0, Rejected
47,3, Yes,42000.0,146000.0,6,24000.0,69000.0,87000.0,49000.0, Approved
48,1, Yes,49000.0,191000.0,14,54000.0,91000.0,177000.0,65000.0, Approved
49,3, No,55000.0,205000.0,12,8000.0,86000.0,185000.0,82000.0, Approved
50,1, Yes,95000.0,191000.0,16,1000.0,105000.0,377000.0,117000.0, Approved
51,4, No,73000.0,254000.0,16,5000.0,18000.0,205000.0,105000.0, Rejected
52,2, No,87000.0,247000.0,10,68000.0,35000.0,218000.0,113000.0, Rejected
53,5, No,38000.0,76000.0,4,87000.0,1000.0,93000.0,34000.0, Approved
54,1, Yes,84000.0,230000.0,12,154000.0,148000.0,319000.0,82000.0, Approved
55,2, Yes,51000.0,197000.0,20,74000.0,93000.0,194000.0,34000.0, Approved
56,5, No,67000.0,245000.0,12,12000.0,56000.0,163000.0,62000.0, Approved
57,2, No,43000.0,106000.0,18,21000.0,15000.0,93000.0,52000.0, Rejected
58,5, Yes,93000.0,305000.0,18,193000.0,103000.0,346000.0,87000.0, Approved
59,1, No,74000.0,184000.0,20,185000.0,91000.0,175000.0,41000.0, Rejected
60,4, Yes,55000.0,182000.0,16,-1000.0,49000.0,186000.0,48000.0, Approved
61,2, No,85000.0,189000.0,18,238000.0,163000.0,259000.0,114000.0, Rejected
62,3, Yes,96000.0,305000.0,18,47000.0,19000.0,265000.0,93000.0, Approved
63,5, Yes,88000.0,289000.0,6,244000.0,86000.0,274000.0,47000.0, Rejected
64,3, Yes,33000.0,75000.0,20,16000.0,56000.0,105000.0,29000.0, Approved
65,4, Yes,39000.0,123000.0,18,76000.0,69000.0,131000.0,28000.0, Approved
66,1, No,41000.0,103000.0,12,95000.0,61000.0,149000.0,28000.0, Rejected
67,3, No,83000.0,291000.0,10,61000.0,119000.0,241000.0,119000.0, Approved
68,0, Yes,27000.0,101000.0,20,2000.0,17000.0,59000.0,14000.0, Rejected
69,4, No,56000.0,124000.0,4,55000.0,31000.0,118000.0,55000.0, Approved
70,0, No,19000.0,50000.0,12,40000.0,28000.0,49000.0,24000.0, Rejected
71,4, Yes,5000.0,15000.0,20,1000.0,2000.0,19000.0,6000.0, Rejected
72,5, Yes,53000.0,186000.0,4,27000.0,97000.0,119000.0,42000.0, Approved
73,5, No,70000.0,183000.0,4,184000.0,117000.0,215000.0,76000.0, Rejected
74,3, Yes,58000.0,167000.0,16,39000.0,94000.0,126000.0,56000.0, Approved
75,2, No,26000.0,84000.0,6,65000.0,38000.0,56000.0,20000.0, Rejected
76,2, No,19000.0,65000.0,18,6000.0,25000.0,48000.0,11000.0, Approved
77,4, No,57000.0,148000.0,16,143000.0,78000.0,129000.0,63000.0, Approved
78,0, No,90000.0,335000.0,8,116000.0,89000.0,354000.0,111000.0, Approved
79,2, No,85000.0,294000.0,12,176000.0,56000.0,252000.0,90000.0, Approved
80,0, No,7000.0,14000.0,14,19000.0,7000.0,24000.0,9000.0, Approved
81,4, No,35000.0,89000.0,4,13000.0,22000.0,123000.0,20000.0, Rejected
82,0, No,88000.0,312000.0,4,29000.0,5000.0,333000.0,86000.0, Approved
